PPN;EPN;Jahr
535759266;;1695
535746660;123811538;1695
535661967;;1695
535661940;;1695
535631626;;1695
535401892;93471066X;1695
535378408;141778830;1695
535377193;23497477X;1695
535376995;1178325822;1695
535376987;1178325733;1695
535372639;1225043530;1695
92317170;123811511;1695
92313337;12340732X;1695
92312748;124782477;1695
92275729;;1695
92275648;198483090;1695
92268137;;1695
92259286;;1695
92257038;;1695
09225084X;;1695
92238394;;1695
92222587;123809401;1695
92182194;123616859;1695
92178103;;1695
92176585;224847678;1695
92159443;;1695
92159273;;1695
09213436X;;1695
92061982;;1695
92017983;;1695
92009107;;1695
92001734;;1695
91921295;;1695
91902592;;1695
09185315X;947920986;1695
91852692;823058123;1695
91852366;21820938X;1695
91831725;;1695
91831717;282794948;1695
91831709;;1695
91831695;282602496;1695
1094565547;;1694
104737711X;1844117170;1694
795376294;;1694
795376286;;1694
782372031;;1694
780573420;;1694
780573226;;1694
776421921;;1694
739253565;;1694
739253557;;1694
684532727;;1694
638651700;;1694
549900586;;1694
537312641;;1694
537285334;;1694
537285326;;1694
537157638;;1694
53695447X;;1694
53682701X;124331734;1694
536736847;133195082;1694
536736820;1180072103;1694
53672251X;;1694
536701652;;1694
536695792;124782507;1694
536694001;883153777;1694
536693846;229843077;1694
536531803;1227267703;1694
536308934;;1694
536271542;;1694
536240175;225250829;1694
536240132;225250810;1694
536208557;;1694
536026327;697753670;1694
536000875;321533070;1694
535960557;195539869;1694
535952163;1237078709;1694
53578726X;;1694
535461747;;1694
53541093X;941243893;1694
535400101;229846920;1694
535387857;123916968;1694
535386249;12289958X;1694
535383592;1267563222;1694
535376928;1178325350;1694
53537464X;123500451;1694
09234156X;;1694
09231113X;;1694
92284477;;1694
92226183;;1694
09220709X;;1694
92200710;131090801X;1694
92199607;;1694
92100139;;1694
92059236;344614069;1694
92056059;;1694
92031145;;1694
92031137;;1694
92009654;;1694
91990696;123809460;1694
91974585;;1694
91958601;;1694
91953022;;1694
91858925;947767452;1694
91854725;;1694
91831687;;1694
655718842;;1693
640352197;;1693
549951520;;1693
53723294X;;1693
537232818;;1693
536737703;262065371;1693
536736812;1180071379;1693
536736804;1180071026;1693
536735344;12381152X;1693
536735042;928270041;1693
536700478;1165315483;1693
536693994;883110121;1693
536693838;883060272;1693
536636842;;1693
536546290;;1693
53651061X;;1693
536319146;12462572X;1693
536283249;;1693
536231249;;1693
535967772;1199526223;1693
535849842;235526479;1693
535756755;142160741;1693
535755821;;1693
535755813;;1693
535755805;;1693
535755791;;1693
535755783;;1693
535727305;;1693
535722591;934596727;1693
535702361;123287863;1693
535558104;;1693
535531281;124440479;1693
53552594X;;1693
53544169X;124669549;1693
535410832;941237206;1693
535410808;941236196;1693
535401744;231731736;1693
535387601;142163759;1693
535382960;1175158216;1693
53537691X;1178176681;1693
535374720;12350032X;1693
535372663;141735015;1693
99029111;;1693
92275419;122761073;1693
92259391;123616638;1693
92240801;;1693
92178251;;1693
92146147;122687310;1693
92081924;;1693
92061974;;1693
92053874;;1693
92036627;;1693
92035086;;1693
92032826;;1693
92026184;;1693
92025420;;1693
92014542;;1693
92003184;;1693
91858852;941238903;1693
91852986;941240614;1693
91838746;28261060X;1693
91831679;282788654;1693
91831660;;1693
91831652;1221466437;1693
91813913;12484510X;1693
790710722;;1692
746624522;;1692
722376391;;1692
537330542;;1692
537119027;122761103;1692
53695836X;;1692
536735131;928271463;1692
536735115;928270866;1692
53670158X;1169079261;1692
536698651;225386003;1692
536697841;269734899;1692
536660654;;1692
536488525;141828994;1692
536382638;123916992;1692
536291624;345623312;1692
536173672;122975995;1692
536031312;;1692
536009961;123616395;1692
535973829;123811279;1692
535930135;;1692
535777485;;1692
535521332;123951143;1692
535402074;944283330;1692
535387873;1226636349;1692
535382162;1199097640;1692
535379684;1226423000;1692
535378394;1226282539;1692
535372175;235113565;1692
98978233;;1692
92337031;;1692
92330495;;1692
92317154;142164518;1692
92275389;;1692
09221469X;124113486;1692
92168434;;1692
92156657;124082823;1692
92075827;;1692
92065902;;1692
92026117;224858904;1692
09202520X;;1692
09201173X;219010161;1692
92006698;;1692
91999464;231276478;1692
09199022X;;1692
91989728;;1692
91980305;;1692
635979535;;1691
635979322;;1691
635979314;;1691
609712063;;1691
595194184;;1691
584234791;;1691
549951148;;1691
549951091;;1691
549951083;;1691
549951067;;1691
537263462;;1691
537206035;358982448;1691
537057846;;1691
53695626X;;1691
536955913;;1691
536944296;;1691
536738637;123916909;1691
536738599;1224972872;1691
536738572;123916887;1691
536735565;1224859529;1691
536695776;917044592;1691
536693935;88310606X;1691
536693927;883075288;1691
536633924;;1691
536624631;169705919;1691
536586993;;1691
