PPN;EPN;Jahr;VD
568200241;320434788;1594;
568155025;;1594;
568133102;;1594;
568116852;;1594;
568112008;;1594;
568097572;;1594;
568079019;;1594;
568079000;;1594;
568078446;123390451;1594;
568078446;12339046X;1594;
568070496;;1594;
568064321;;1594;
568064275;229570380;1594;
568056639;;1594;
568056620;;1594;
568056612;231925492;1594;
568056612;231925484;1594;
568056612;595560865;1594;
568056612;595749518;1594;
568056604;575256850;1594;
568056604;595555462;1594;
568056604;595749666;1594;
568031598;122746678;1594;
568031563;122746635;1594;
567973662;;1594;
567971546;174898894;1594;
567955451;234093862;1594;
567955451;291822991;1594;
567955451;291823009;1594;
567955451;291823017;1594;
567955451;291823025;1594;
567936708;126945918;1594;
567933725;;1594;
567916979;;1594;
567885526;123602246;1594;
567885526;123602254;1594;
567885526;132142236;1594;
567877817;;1594;
567803651;123601568;1594;
567803651;12360155X;1594;
567803651;123601576;1594;
567803651;123601584;1594;
567803651;123601592;1594;
567803651;123601606;1594;
567803651;123601614;1594;
567803651;123601622;1594;
567803651;123601630;1594;
567802914;123603323;1594;
567802914;123603331;1594;
567802914;12360334X;1594;
567802914;123603358;1594;
567802914;12360026X;1594;
567796388;;1594;
567794261;12690152X;1594;
567784991;233549609;1594;
567784991;233549617;1594;
567784991;233549625;1594;
567779335;124512143;1594;
567779335;190918187;1594;
567769887;;1594;
567768910;;1594;
567763730;122822625;1594;
567763730;122822633;1594;
567763730;122822641;1594;
567741613;233548041;1594;
567735176;;1594;
567683575;;1594;
567669998;;1594;
567664511;;1594;
567662780;;1594;
567662764;;1594;
567662713;;1594;
567662160;;1594;
567650340;;1594;
567614441;;1594;
567608700;;1594;
567589315;;1594;
567570444;;1594;
567567273;;1594;
567555097;;1594;
567548252;222231785;1594;
567540421;;1594;
567538095;;1594;
567535266;;1594;
567528162;;1594;
567528154;;1594;
567528146;;1594;
567528138;;1594;
56752812X;;1594;
567528111;;1594;
567518930;;1594;
567518744;;1594;
567498883;;1594;
56749070X;;1594;
567462757;;1594;
56744922X;;1594;
567418162;;1594;
567401111;232385432;1594;
567357511;124524311;1594;
567355993;;1594;
567341917;122826639;1594;
567338835;;1594;
567317250;122822994;1594;
567311228;;1594;
567310884;;1594;
567309215;;1594;
567303012;122822811;1594;
567289877;122820339;1594;
567286037;;1594;
567280292;122826493;1594;
567276341;136229859;1594;
567275566;12282279X;1594;
567261697;;1594;
567261638;;1594;
567251357;122826418;1594;
567251284;;1594;
567251063;122822838;1594;
567250725;;1594;
56723018X;122822684;1594;
567208192;;1594;
567197417;143542044;1594;
1471623017;;1593;
823386430;;1593;
784856982;;1593;
749721464;;1593;
728625253;;1593;
72862172X;;1593;
568247191;;1593;
568229711;;1593;
568222792;;1593;
568220080;123600502;1593;
568220080;123600510;1593;
568220080;123600529;1593;
568220080;123600537;1593;
568219805;124798659;1593;
568210344;;1593;
568116860;;1593;
568116844;123085160;1593;
568116844;123085179;1593;
568116844;123085187;1593;
568116844;123085195;1593;
568116844;123085209;1593;
568116844;123085217;1593;
568116844;123085225;1593;
568116844;123085233;1593;
568116844;123085241;1593;
56807176X;;1593;
568003179;124622038;1593;
568003179;124622046;1593;
568003179;124622054;1593;
567983838;;1593;
567977838;571570186;1593;
567974723;;1593;
567952088;;1593;
567938468;;1593;
567936767;123232414;1593;
567936740;;1593;
567901270;38218890X;1593;
567885771;123603447;1593;
567885771;123603455;1593;
567885771;171044193;1593;
567885771;171044207;1593;
567885771;171044215;1593;
567796418;122826647;1593;
567786692;14234172X;1593;
567774449;;1593;
567767124;;1593;
567763684;;1593;
567749096;122820266;1593;
56773062X;;1593;
567727602;;1593;
567724921;;1593;
567716082;;1593;
56771358X;;1593;
567699250;;1593;
56768556X;;1593;
567684989;;1593;
567680053;;1593;
567677788;;1593;
567668282;;1593;
567662691;;1593;
567662683;;1593;
567662659;;1593;
567662438;;1593;
567662004;;1593;
56766189X;;1593;
567661717;;1593;
567661679;;1593;
567661350;;1593;
567660338;;1593;
567631680;;1593;
56762823X;;1593;
56762661X;;1593;
567607151;;1593;
56760585X;;1593;
567576523;;1593;
567565165;;1593;
567558703;;1593;
567548244;;1593;
567539997;;1593;
567528081;379225611;1593;
567528073;;1593;
567528057;;1593;
567528049;;1593;
567528030;;1593;
567528022;;1593;
567528014;;1593;
567528006;;1593;
567525139;;1593;
56751059X;;1593;
567507572;;1593;
56747142X;;1593;
567463680;124786995;1593;
567461009;;1593;
56742684X;;1593;
567412148;;1593;
567399680;;1593;
56734438X;;1593;
56730065X;12282265X;1593;
567290131;122869478;1593;
567290131;122869486;1593;
567290131;122869494;1593;
56727585X;122820312;1593;
567273210;122820452;1593;
567257045;142329495;1593;
567257045;142329509;1593;
567255085;122820347;1593;
567242269;122820320;1593;
567230147;147773717;1593;
567230147;123636299;1593;
567230147;147773695;1593;
567230147;147773733;1593;
567230147;147773725;1593;
567230147;147773709;1593;
567230147;147773741;1593;
567222810;123603277;1593;
567222810;123603285;1593;
567222810;276302419;1593;
567214842;123601649;1593;
567214842;123601657;1593;
567214842;171001214;1593;
567199347;136228380;1593;
567190064;;1593;
567189627;;1593;
567186555;;1593;
567184757;;1593;
823695069;;1592;
568220366;123602742;1592;
568220366;123602750;1592;
568220366;123602769;1592;
568220366;123602777;1592;
568220366;123602785;1592;
568220366;123602793;1592;
568220366;123602807;1592;
568220293;;1592;
568191862;;1592;
568161602;;1592;
568126807;667364439;1592;
568123271;175166897;1592;
568123271;124367860;1592;
568123271;175166900;1592;
568116917;;1592;
568116895;;1592;
568091213;292275684;1592;
568080750;;1592;
568061012;145538540;1592;
568056590;;1592;
568055349;;1592;
568055306;;1592;
568011880;;1592;
568003160;;1592;
56800230X;;1592;
567997219;123901553;1592;
567988929;;1592;
567977897;123515009;1592;
567970558;;1592;
56797054X;;1592;
567920011;123602475;1592;
567920011;123602483;1592;
567920011;123602491;1592;
567920011;171002024;1592;
567920011;171002032;1592;
567910334;;1592;
567803635;12360088X;1592;
567803635;123600898;1592;
567803635;123600901;1592;
567803635;12360091X;1592;
567799794;149126840;1592;
567799794;149126832;1592;
567799794;289743273;1592;
567799794;289743281;1592;
567788946;;1592;
567759555;;1592;
567756319;;1592;
567755843;185355080;1592;
567755843;185355064;1592;
567750221;;1592;
567744191;;1592;
567717399;;1592;
