PPN;EPN;VD;Jahr
1092822240;;;1758
1091622094;;;1758
1040080707;;;1758
1012542513;;;1758
1005263280;;;1758
848393015;;;1758
847751473;;;1758
737959967;;;1758
629528187;;;1758
598757465;932898076;;1758
598755780;93289139X;;1758
598751882;932877249;;1758
598749780;932868959;;1758
598745394;932857272;;1758
598739424;932837603;;1758
598738096;932833551;;1758
598734600;93282238X;;1758
597608172;930499298;;1758
596222068;928989674;;1758
596217323;928972798;;1758
593046641;92396262X;;1758
593043359;923947302;;1758
593027310;92387870X;;1758
593010272;923855424;;1758
593008375;923848878;;1758
521450829;;;1758
450170888;775632252;;1758
32293205X;;;1758
319687236;1100724354;;1758
304844071;;;1758
239884566;;;1758
231381077;;;1758
231173741;;;1758
219673918;;;1758
214974367;;;1758
214973255;12431290X;;1758
211720585;188752781;;1758
18759595X;1242522565;;1758
184207355;147730139;;1758
17998490X;123058066;;1758
15177286X;124905374;;1758
151295700;124336175;;1758
151030774;124029485;;1758
150630530;374384584;;1758
150602170;123542189;;1758
147544459;123871220;;1758
138017239;;;1758
148976593X;;;1757
1119639557;;;1757
1109752172;;;1757
1094755478;;;1757
1092580115;;;1757
1090421540;;;1757
893964557;1703084411;;1757
866879560;;;1757
866874135;;;1757
848461584;;;1757
775020222;;;1757
774990309;;;1757
732261481;;;1757
683661086;;;1757
683627244;;;1757
683581082;;;1757
683574213;;;1757
60600257X;943154804;;1757
60598638X;943103339;;1757
599229756;933618859;;1757
596164963;928909174;;1757
596045964;928862763;;1757
596019378;928769755;;1757
596002033;928717011;;1757
505797542;;;1757
454676557;;;1757
45017087X;775606715;;1757
36272928X;;;1757
324483422;;;1757
32287727X;;;1757
315621672;;;1757
26575738X;;;1757
265757282;;;1757
253434270;;;1757
242412890;92882683X;;1757
238739856;;;1757
238712346;269769161;;1757
22381931X;;;1757
181813416;943100615;;1757
151527768;124603505;;1757
151262608;12430009X;;1757
151093350;124098533;;1757
151030812;124029523;;1757
15089337X;123871174;;1757
147177502;1100714154;;1757
136683290;;;1757
058530819;1194492126;;1757
1586517198;;;1756
1123985561;;;1756
1120578175;;;1756
1119900646;;;1756
1101415215;;;1756
1098358708;;;1756
1098315294;;;1756
1024478947;;;1756
1012533093;;;1756
776333836;;;1756
775065455;;;1756
775012092;;;1756
77501169X;;;1756
775011657;;;1756
774964081;;;1756
732310717;;;1756
68367322X;;;1756
68366218X;;;1756
68358930X;;;1756
604065027;940400081;;1756
599640677;93443753X;;1756
599639539;93443249X;;1756
599637099;934423245;;1756
566308568;874288363;;1756
354414151;874282411;;1756
346429862;1184811725;;1756
332539822;;;1756
321813928;;;1756$MDCCLVI.
319691713;1100703039;;1756
319682838;1100699457;;1756
267817169;177555662X;;1756
240394321;;;1756
240386604;;;1756
185289193;727309676;;1756
151772894;124905404;;1756
151521999;124597394;;1756
151274142;12431306X;;1756
151093237;124098401;;1756
151009155;124003508;;1756
15095980X;123946093;;1756
150884508;123861551;;1756
150883951;123860970;;1756
147105056;122998030;;1756
146849892;;;1756
145154912;;;1756
143568493;727308114;;1756
142519340;194229378;;1756
141784482;810936178;;1756
134871952;;;1756
058367098;;;1756
058197958;247296694;;1756
1489687718;;;1755
1129390179;;;1755
1123833842;;;1755
1119691397;;;1755
1119639522;;;1755
1113804270;;;1755
1102883646;;;1755
1089035756;;;1755
1005181268;;;1755
87202184X;;;1755
776322354;;;1755
776322346;;;1755
774975873;;;1755
774975385;;;1755
771218788;;;1755
683661434;;;1755
683661078;;;1755
683643185;;;1755
683602330;;;1755
599462914;933847785;;1755
599457740;93382727X;;1755
59945685X;933823827;;1755
599413182;933806841;;1755
596161999;928898695;;1755
488215315;;;1755
455909369;;;1755
429215878;;;1755
329682261;;;1755
327742259;1194484808;;1755
322187796;1190877430;;1755
322186609;807059102;;1755
321574710;;;1755
321481615;;;1755
315313447;;;1755
314658114;1257996835;;1755
304071692;362349118;;1755
268748837;338829105;;1755
267817045;124029779;;1755
238030253;;;1755
18969176X;921378769;;1755
181342979;142374237;;1755
180042769;140996990;;1755
15148323X;124551718;;1755
151274053;124312950;;1755
151274045;124312942;;1755
151273715;12431256X;;1755
151132097;124140610;;1755
151030979;124029760;;1755
151030847;124029574;;1755
151009368;124003710;;1755
15100921X;124003567;;1755
151009147;124003494;;1755
15053986X;123463823;;1755
14769518X;;;1755
144075083;;;1755
140800190;124541852;;1755
138016704;129614246;;1755
134320247;;;1755
1331369428;;;1754
113691823X;;;1754
1132917352;;;1754
1129845494;;;1754
1124544631;;;1754
1116324555;;;1754
1109190891;;;1754
1109140010;;;1754
1107195578;;;1754
1012517209;;;1754
1005265097;;;1754
848397576;;;1754
848348524;;;1754
833704621;;;1754
776288636;;;1754
776288628;;;1754
776241273;;;1754
774977809;;;1754
