PPN;EPN;Jahr
536036039;;1696
535916809;;1696
535867239;;1696
535802722;;1696
535789432;;1696
535789416;262584204;1696
53577575X;;1696
535752393;;1696
535738390;;1696
535722486;;1696
535722451;;1696
535697139;;1696
535659865;;1696
535659857;;1696
535629222;;1696
535595603;12271122X;1696
535494904;;1696
92301916;;1696
92296971;;1696
92294324;;1696
92293271;;1696
92279244;;1696
92266916;;1696
92252273;;1696
92250947;;1696
92241468;;1696
92229417;12268849X;1696
92225624;;1696
92224725;;1696
92222420;;1696
92218644;;1696
92197817;;1696
92197132;;1696
92196985;;1696
92196748;;1696
92196721;;1696
92196152;;1696
92170412;;1696
92147976;;1696
92140327;122688481;1696
92140319;12271511X;1696
92134556;;1696
92134173;1830261053;1696
09205434X;;1696
92013074;;1696
91982359;127614567;1696
91972396;;1696
91964490;;1696
91957028;;1696
91950759;;1696
91895405;;1696
09181779X;1175240656;1696
91817781;;1696
91817773;;1696
91817765;;1696
91817757;;1696
91817749;;1696
91817730;;1696
91817722;;1696
1135674590;;1695
1030575258;;1695
874906105;1652039155;1695
864195273;;1695
800166159;;1695
779296524;;1695
779018354;;1695
687842123;;1695
561424349;;1695
549950850;;1695
549944079;;1695
54993006X;;1695
537274219;;1695
537212000;;1695
537206361;;1695
537162054;;1695
537152598;122830806;1695
537097805;;1695
537070362;1500323349;1695
536890366;;1695
536836809;;1695
536793778;;1695
536793719;;1695
536769125;;1695
536762643;;1695
53675487X;345314905;1695
536673071;;1695
536532427;;1695
536501009;;1695
536500983;;1695
536500673;;1695
536484155;;1695
536453446;;1695
536450110;;1695
536448590;;1695
536426341;;1695
536424365;;1695
53642229X;;1695
536419426;;1695
536375143;;1695
536341109;;1695
536329478;;1695
536329117;;1695
536278865;;1695
53624507X;;1695
536168113;83933253X;1695
536051828;;1695
53605049X;;1695
536042276;128670126;1695
53604192X;;1695
536017433;;1695
536009384;;1695
535938071;;1695
535867476;;1695
535867395;;1695
535867336;;1695
535864019;;1695
535857179;;1695
535817835;;1695
535817797;;1695
535812361;;1695
535789505;;1695
53573008X;;1695
535725582;;1695
535722443;;1695
535699662;;1695
535697503;;1695
535697457;;1695
535694660;124909205;1695
535694237;;1695
535691963;;1695
535650574;;1695
535650566;;1695
535650558;;1695
53565054X;;1695
535646895;;1695
535602421;;1695
53558279X;1163692638;1695
535418167;;1695
92333117;;1695
92304710;124909213;1695
92290140;;1695
92286313;;1695
92282660;;1695
92266703;;1695
92254896;;1695
92253466;262161737;1695
92253458;;1695
92243630;341330906;1695
92231985;;1695
92222226;;1695
92220746;;1695
92200923;;1695
92184928;12394600X;1695
92180329;;1695
92179886;;1695
92151906;;1695
92134017;;1695
92092640;;1695
92080790;;1695
92043267;;1695
92035132;;1695
92008054;;1695
92007643;;1695
91897955;;1695
91897289;;1695
91897270;;1695
91895383;;1695
91895200;;1695
91780241;;1695
91780233;;1695
91780225;;1695
1043602372;;1694
873591437;;1694
866403809;;1694
794130240;;1694
789832305;;1694
788068954;1478020806;1694
731445260;;1694
722375719;;1694
684845350;1291520430;1694
597604940;;1694
549940405;123193508;1694
537085815;122945387;1694
53698722X;;1694
53697344X;;1694
536901252;;1694
536872759;;1694
536761647;;1694
536712433;;1694
536563500;;1694
536563497;;1694
536562636;1485000963;1694
53654753X;;1694
536544492;147481221X;1694
536522227;;1694
536503672;;1694
536494584;;1694
536431817;;1694
536404631;;1694
536384274;;1694
536329486;;1694
536283125;;1694
536248818;;1694
536247366;;1694
536231680;;1694
536216991;;1694
536214204;;1694
536147965;;1694
536108889;;1694
536081816;;1694
536043728;;1694
536036020;150032387X;1694
535812930;;1694
535794398;;1694
535794061;;1694
535772092;;1694
535771622;;1694
535754191;;1694
535718500;;1694
535716990;;1694
535716672;262413825;1694
535700660;;1694
535673582;;1694
53544334X;17617379X;1694
535443331;176171215;1694
535443323;176169741;1694
535443315;176168230;1694
98996908;;1694
92331114;;1694
92320864;;1694
92287700;;1694
92286127;;1694
92284965;;1694
92284957;;1694
92280536;;1694
92277489;;1694
92250467;;1694
92197043;;1694
92189369;;1694
92189350;;1694
92187595;;1694
92186882;124910890;1694
92186882;124910904;1694
92185703;;1694
92185614;;1694
92176178;252701585;1694
92176178;1475379692;1694
92171664;;1694
92155367;1102796867;1694
92134211;;1694
92031293;;1694
91982286;;1694
91940761;;1694
91940729;;1694
91916518;;1694
91898773;;1694
1560279303;;1693
1048992780;;1693
892992891;;1693
823045226;;1693
537315853;1421577631;1693
537284583;633102636;1693
537217843;;1693
537217827;;1693
537217800;;1693
537217649;;1693
537217622;;1693
537211950;;1693
537200975;124910874;1693
537190643;;1693
537151567;;1693
537125752;;1693
537110429;;1693
537079823;;1693
537079785;;1693
537079777;;1693
537079769;;1693
537079289;;1693
53707905X;;1693
537078703;;1693
537078614;;1693
537078495;;1693
537078460;;1693
537078428;;1693
537078401;;1693
537078355;;1693
537078320;;1693
537078290;;1693
537078266;;1693
537078177;;1693
537077367;;1693
537077278;;1693
537077111;;1693
537046127;;1693
537046100;;1693
53704602X;;1693
537046003;;1693
537045996;;1693
537045937;;1693
537045929;;1693
537012826;;1693
537002731;;1693
536985243;;1693
536973431;;1693
536951004;;1693
536891559;;1693
536827923;;1693
536821259;;1693
536656789;;1693
536648433;;1693
536642583;;1693
536628548;;1693
536618089;;1693
536586608;;1693
536567093;;1693
536563772;;1693
536547858;1310993912;1693
536511705;;1693
536484171;;1693
536434867;;1693
536429499;;1693
536423687;;1693
536354006;;1693
536330999;;1693
536296561;;1693
536296545;;1693
536275475;;1693
53623728X;;1693
536051135;;1693
536002371;;1693
535982909;124910858;1693
535873743;;1693
535815565;;1693
535810474;;1693
535810180;;1693
535810105;;1693
535810091;;1693
535798687;;1693
535745877;;1693
535745648;;1693
535722532;124910866;1693
535718497;;1693
535718489;;1693
535718470;;1693
535718462;;1693
535718446;;1693
53571677X;;1693
535716656;;1693
535697481;;1693
535697473;;1693
535693362;;1693
53569332X;;1693
535693311;;1693
535693303;;1693
53569329X;;1693
535693281;;1693
535693273;;1693
535693265;;1693
535693249;;1693
535693222;;1693
535693214;;1693
535692420;;1693
535692412;;1693
535692404;;1693
535692390;;1693
535692382;;1693
535692374;;1693
535692366;;1693
53569234X;;1693
535692331;;1693
535692323;;1693
535692315;;1693
535692293;;1693
535692285;;1693
535689667;;1693
535669046;;1693
535593910;;1693
535518579;262979624;1693
535518579;1421577941;1693
535518560;;1693
98990993;;1693
92315933;;1693
92305121;;1693
92286135;127560211;1693
92283535;124559069;1693
92278523;;1693
92278493;;1693
92266908;;1693
09226669X;;1693
09225277X;;1693
92247563;;1693
92215513;262509385;1693
92210686;;1693
92206603;;1693
92206239;;1693
09220094X;185533000;1693
09219995X;;1693
92199135;;1693
92198961;;1693
92191541;;1693
92185649;;1693
92180922;;1693
92180914;;1693
92177050;;1693
92165095;;1693
92146503;;1693
92134009;;1693
92064361;;1693
92064345;;1693
92064329;;1693
92064302;;1693
92064221;;1693
92064213;;1693
92064205;;1693
92064191;;1693
92055001;;1693
92053467;;1693
92033121;;1693
92000223;152683801;1693
91974623;;1693
91968100;;1693
91956501;;1693
91956447;;1693
91956439;;1693
91898242;;1693
91897297;;1693
91895340;;1693
91895308;;1693
91895294;;1693
91835402;;1693
91835399;;1693
91835380;;1693
91767067;262979438;1693
91767067;1421577860;1693
91767059;262979152;1693
91767040;262978776;1693
755744446;;1692
755742699;;1692
633112704;1177117657;1692
57272750X;;1692
537271376;;1692
537262989;;1692
537200665;;1692
537044639;;1692
537044108;;1692
537012214;;1692
537010807;;1692
536983453;;1692
536942994;;1692
536792836;;1692
536685118;;1692
536647046;1390279979;1692
536646236;;1692
536611351;;1692
536608296;;1692
536562695;;1692
536500908;;1692
536498504;;1692
536432422;;1692
536423814;;1692
536331006;;1692
536329265;;1692
536291810;;1692
536278857;;1692
536243182;;1692
536234329;;1692
536230072;;1692
536217106;;1692
53615371X;;1692
536119023;;1692
536119015;;1692
536100896;;1692
536058660;;1692
536055475;;1692
536050104;;1692
535970900;;1692
535878052;;1692
535838050;;1692
535803273;;1692
53578953X;;1692
535775725;1637504659;1692
535775660;124854052;1692
535775660;124854060;1692
535774400;224885766;1692
535697406;;1692
535668368;;1692
535668341;;1692
535650256;;1692
535533306;;1692
535530358;;1692
535530242;;1692
535428170;;1692
535420889;;1692
99027070;;1692
99006596;;1692
98989111;;1692
98978233;;1692
98975188;;1692
92320848;;1692
92309410;124888933;1692
92286666;;1692
09227997X;;1692
92278442;;1692
92266673;;1692
92260861;;1692
92192009;930923081;1692
92191517;;1692
92191509;;1692
92189040;;1692
92170587;366486403;1692
92163092;;1692
92155405;;1692
92051073;1475045166;1692
92049729;12285697X;1692
92046819;;1692
92015689;;1692
91968275;;1692
91915201;;1692
91904528;;1692
91878152;;1692
1043722009;;1691
799877832;;1691
794129803;;1691
788063065;;1691
717298167;;1691
637053273;1476341745;1691
537242430;;1691
537206132;;1691
537201246;;1691
537163751;124595855;1691
53708276X;12407684X;1691
537058400;;1691
537010610;26279652X;1691
537008160;;1691
536720479;;1691
536632154;;1691
536608059;;1691
536547726;1493182676;1691
536546754;;1691
536544735;;1691
536456860;;1691
536456852;;1691
536456836;;1691
536456828;;1691
53645681X;;1691
536456801;;1691
536456798;;1691
53645678X;;1691
536456771;;1691
536456763;;1691
536456755;;1691
536456747;;1691
536456720;;1691
536456712;;1691
536456704;;1691
536456690;;1691
536456682;;1691
536456674;;1691
536456666;;1691
536456658;;1691
53645664X;;1691
536340951;;1691
536331715;;1691
536330816;;1691
536328870;;1691
536296464;;1691
53625253X;;1691
536252491;;1691
536231664;;1691
536226741;;1691
536226385;;1691
536162506;;1691
536128189;;1691
536074623;127579028;1691
536067600;;1691
536048967;;1691
536048932;;1691
535848188;;1691
535831366;;1691
535799713;;1691
535799667;;1691
535788363;;1691
535784813;;1691
535770375;;1691
535646836;;1691
535529694;;1691
535529538;;1691
535401019;717378101;1691
92340539;;1691
92325513;;1691
92305644;262632306;1691
92285635;124505686;1691
09225697X;;1691
92210376;;1691
92178898;;1691
92171451;;1691
92135986;;1691
92118518;;1691
91967732;262600811;1691
91966469;;1691
91956722;;1691
91953146;;1691
91936934;;1691
91922356;267395094;1691
91897971;;1691
91897785;894448250;1691
91897386;;1691
860528014;;1690
813654343;;1690
798015659;;1690
779295978;;1690
641673140;;1690
607961201;;1690
593854314;;1690
537352546;;1690
53721979X;;1690
537120890;;1690
537020446;;1690
536999066;;1690
536912785;280380895;1690
536819807;;1690
536763526;;1690
536719829;;1690
536662118;;1690
536662096;;1690
53664831X;;1690
536648166;;1690
53664005X;;1690
536625964;;1690
536553742;;1690
536553726;;1690
536522901;;1690
536455821;;1690
536444315;;1690
536431485;;1690
536423830;122982975;1690
536398038;;1690
536375062;;1690
536373035;123445205;1690
536338477;;1690
536249431;;1690
536236119;;1690
536230765;;1690
536222754;;1690
536051747;1304438740;1690
536012245;;1690
53599933X;;1690
535916221;;1690
53585076X;;1690
535823207;;1690
535814704;;1690
535814437;;1690
535787073;;1690
535782225;;1690
53575387X;;1690
535619774;;1690
535523610;;1690
53551882X;;1690
535463898;;1690
535463871;;1690
535463715;;1690
535406770;;1690
92287468;;1690
92282687;;1690
92266894;;1690
09226686X;;1690
92262112;;1690
92250912;;1690
92243355;;1690
92240496;;1690
92237231;;1690
92222358;;1690
92221831;;1690
92189563;;1690
92161979;;1690
92146937;;1690
92135277;;1690
92062083;;1690
92051227;;1690
92007430;;1690
09194550X;;1690
91939593;;1690
91897130;;1690
91897114;;1690
133529533X;;1689
888820046;;1689
884585557;;1689
88450445X;;1689
797243569;;1689
578292610;;1689
537352678;;1689
537328386;;1689
537253335;;1689
537223835;;1689
537113711;717307964;1689
537112545;;1689
537091890;1731758170;1689
537054820;124375898;1689
537052860;;1689
536850836;;1689
536722862;176193057;1689
536719721;;1689
536638764;;1689
536638756;;1689
536638748;;1689
53663873X;;1689
536633916;;1689
536611378;120207216X;1689
53660794X;;1689
53656552X;;1689
536513171;151510091;1689
536513015;;1689
536501254;;1689
536454159;;1689
536440301;;1689
536434921;;1689
536375046;;1689
536339120;;1689
53630839X;;1689
53630744X;;1689
536301638;;1689
536295042;;1689
536292930;;1689
536290113;;1689
536288968;;1689
536264163;;1689
536251525;1826442995;1689
536227314;;1689
536220255;;1689
53614740X;;1689
535913036;;1689
535811942;;1689
535810466;;1689
535721374;;1689
535682719;;1689
535672888;124076947;1689
535641486;;1689
535616996;;1689
535582625;;1689
535485182;;1689
535463987;;1689
535463707;;1689
98981846;;1689
92305342;;1689
92296688;;1689
92288006;;1689
92287654;;1689
92243312;123574927;1689
92240224;;1689
92198708;;1689
92176089;;1689
92149340;;1689
92148689;;1689
92144101;;1689
92111157;;1689
92078370;;1689
09203599X;;1689
92023371;;1689
91995426;;1689
